id,source_name,source_url,status,detail_status,detail_fetched_at,parsed_at,created_at
036ed8c3-af66-4d93-a359-62bbcfe6a9ff,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/pay-cash-this-month-and-get-the-special-price-for-sale-tropical-villa-2-storey-in-seminyak-area-hos16699850/?priceCurrency=IDR,processed,ok,2026-04-21 08:00:28.507492+00,2026-04-21 00:05:59.869094+00,2026-04-20 23:45:25.710662+00
7ec23605-8dd8-4e6e-aebc-9baad9924cfe,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/luxury-modern-tropical-style-villa-at-central-petitenget-seminyak-300-meter-to-kajin-japanese-restaurant-500-meter-to-hos40930788/?priceCurrency=IDR,processed,blocked,2026-04-21 08:02:48.718057+00,2026-04-21 00:05:41.924659+00,2026-04-20 23:45:25.710662+00
48dd0bce-7ebe-4c03-8f6d-b5874809a245,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/vila-estate-mewah-hak-milik-di-prime-seminyak-dekat-pantai-vls240696/?priceCurrency=IDR,processed,ok,2026-04-21 08:04:31.325492+00,2026-04-21 00:05:34.32233+00,2026-04-20 23:45:25.710662+00
0c2cea2d-ea11-4ec0-a280-6a990a17f0a9,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-mewah-di-seminyak-full-furnished-5br-pool-besar-vls245083/?priceCurrency=IDR,processed,ok,2026-04-21 08:01:06.062922+00,2026-04-21 00:05:55.669517+00,2026-04-20 23:45:25.710662+00
d41caf79-213f-4a29-a2df-8525e1f95ee2,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/modern-tropical-style-villa-at-cluster-onegate-system-with-security-24hours-at-area-jalan-batu-belig-seminyak-100-hos41312324/?priceCurrency=IDR,processed,ok,2026-04-21 08:11:41.078285+00,2026-04-21 00:05:38.191185+00,2026-04-20 23:45:25.710662+00
1d1dcd18-13d7-4bd1-b781-93b6390b0da8,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/turun-harga-beautiful-villa-at-batubelig-seminyak5-minutes-to-batubelig-beach-and-10-minutes-to-atlas-beach-fest-hos17661399/?priceCurrency=IDR,processed,ok,2026-04-21 08:12:00.899929+00,2026-04-21 00:05:45.551772+00,2026-04-20 23:45:25.710662+00
b23e3abe-8170-4403-a08b-78064be0e32e,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-bumbak-umalas-118-are-badung-bali-shm-freehold-vls15318/?priceCurrency=IDR,processed,ok,2026-04-21 08:12:20.444928+00,2026-04-21 00:06:07.078536+00,2026-04-20 23:45:25.710662+00
338a48e1-ef63-4b9f-b92b-3b84b5bb0152,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/3-bedrooms-villa-287m-di-seminyak-bali-hos16687569/?priceCurrency=IDR,processed,ok,2026-04-21 08:12:39.968298+00,2026-04-21 00:06:40.296527+00,2026-04-20 23:45:25.710662+00
9cdc5c16-5bfd-44b3-af3f-3191fd620492,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/rumah-semi-villa-modern-dekat-seminyak-hos39841558/?priceCurrency=IDR,processed,blocked,2026-04-21 07:58:45.710982+00,2026-04-21 00:06:03.35849+00,2026-04-20 23:45:25.710662+00
f3c3d2c5-3b3e-4d60-a831-19a37e815986,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/brand-new-freehold-cluster-villa-full-furnished-near-seminyak-vls52335/?priceCurrency=IDR,processed,ok,2026-04-21 08:19:28.808771+00,2026-04-21 00:05:29.942069+00,2026-04-20 23:45:25.710662+00
39337a71-e3b7-43d0-b0a5-0e4ae122b796,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/early-bird-leasehold-villas-in-a-strategic-location-seminyak-vls240252/?priceCurrency=IDR,processed,ok,2026-04-21 07:50:11.61513+00,2026-04-21 00:06:36.7051+00,2026-04-20 23:45:25.710662+00
255efd7e-9c91-4e78-9947-89761fc53106,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/leasehold-villa-1-bedrooms-kayu-aya-seminyak-bali-hos41057945/?priceCurrency=IDR,processed,blocked,2026-04-21 08:17:46.063902+00,2026-04-21 00:07:30.682351+00,2026-04-20 23:45:25.710662+00
9b3eec3c-4748-4c5c-b458-c5c5ec88b598,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/brand-new-luxury-villa-petitenget-seminyak-bali-freehold-hos17588442/?priceCurrency=IDR,processed,blocked,2026-04-21 08:14:03.095974+00,2026-04-21 00:06:54.885864+00,2026-04-20 23:45:25.710662+00
23ec11ed-b68e-49a6-8dcd-7d3830bd1985,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-modern-tropical-dijual-seminyak-vls240379/?priceCurrency=IDR,processed,ok,2026-04-21 08:04:50.835951+00,2026-04-21 00:05:26.533304+00,2026-04-20 23:45:25.710662+00
1ba2cfb1-1093-4a3e-880d-d88a035cc8f7,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-baru-furnished-murah-dekat-seminyak-bali-vls249558/?priceCurrency=IDR,processed,ok,2026-04-21 08:16:03.324767+00,2026-04-21 00:07:15.792391+00,2026-04-20 23:45:25.710662+00
65991beb-6365-40f0-9155-14dfbf130e52,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-seminyak-freehold-shm-2-lantai-3br-hos19214404/?priceCurrency=IDR,processed,blocked,2026-04-21 07:47:49.589695+00,2026-04-21 00:06:51.279618+00,2026-04-20 23:45:25.710662+00
be849a88-87d4-4e55-9796-01dfd7f30f06,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/modern-4-bedroom-villa-in-seminyak-for-sale-vls249592/?priceCurrency=IDR,processed,blocked,2026-04-21 08:09:58.444156+00,2026-04-21 00:05:08.032763+00,2026-04-20 23:45:25.710662+00
b128c6a7-2ea0-4c47-a126-e22013c12c5e,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-baru-siap-huni-shm-fully-furnished-seminyak-bali-vls249963/?priceCurrency=IDR,processed,ok,2026-04-21 08:08:35.308415+00,2026-04-21 00:05:12.327885+00,2026-04-20 23:45:25.710662+00
95e830ae-fd5d-4f5e-b511-9fdb8a82cdd5,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/freehold-6bedroom-luxury-villa300-meters-from-the-beach-in-seminyak-vls189777/?priceCurrency=IDR,processed,ok,2026-04-21 08:08:15.932176+00,2026-04-21 00:05:15.741373+00,2026-04-20 23:45:25.710662+00
4b5b7255-11ca-4f3d-b682-14cc248f81f3,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/freehold-4bedroom-luxury-villa-just-300-meters-from-seminyak-beach-hos16114760/?priceCurrency=IDR,processed,blocked,2026-04-21 08:06:33.768723+00,2026-04-21 00:05:19.204706+00,2026-04-20 23:45:25.710662+00
8f542bca-cf83-4cd1-937f-074628ed56fa,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/vila-hak-milik-di-stategis-petitenget-seminyak-dengan-rooftop-ocean-view-vls240702/?priceCurrency=IDR,processed,ok,2026-04-21 08:05:10.659288+00,2026-04-21 00:05:22.900767+00,2026-04-20 23:45:25.710662+00
a8c163a6-326b-44c2-862c-4ecf286701c4,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-full-furnished-murah-di-seminyak-bali-vls249508/?priceCurrency=IDR,processed,blocked,2026-04-21 08:21:31.438917+00,2026-04-21 00:07:19.189654+00,2026-04-20 23:45:25.710662+00
f38e7cf5-3225-4dad-985e-df90cdb1e26d,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/3-bedroom-villa-288m-kunti-seminyak-bali-hos39046376/?priceCurrency=IDR,processed,ok,2026-04-21 08:20:08.158974+00,2026-04-21 00:07:27.150208+00,2026-04-20 23:45:25.710662+00
48c67f6b-08bd-4616-892a-6672d544254e,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/luxury-villa-dewi-sri-seminyak-3br-luas-352m2-hos40613676/?priceCurrency=IDR,processed,ok,2026-04-21 08:19:48.523198+00,2026-04-21 00:07:34.008765+00,2026-04-20 23:45:25.710662+00
5337fb95-51c1-451e-92da-5e50bcb23613,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/rumah-baru-kerobokan-dekat-seminyak-dan-canggu-5br-hos41096571/?priceCurrency=IDR,processed,ok,2026-04-21 08:26:59.925499+00,2026-04-21 10:16:04.501605+00,2026-04-20 23:45:25.710662+00
8c582dd9-29f0-4a74-a3c6-f330b12c92fd,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/3-bedroom-tropical-villa-seminyak-close-to-beach-vls43574/?priceCurrency=IDR,processed,ok,2026-04-21 07:49:51.780497+00,2026-04-21 00:06:44.047077+00,2026-04-20 23:45:25.710662+00
941eb894-1d72-4721-a806-5ff6d2b22a43,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-seminyak-walking-distance-to-petitenget-beach-bali-hos39947811/?priceCurrency=IDR,processed,ok,2026-04-21 08:26:40.101253+00,2026-04-21 00:07:01.940806+00,2026-04-20 23:45:25.710662+00
d0644b54-7325-4b2b-9e71-ed7af6e825b8,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-2-bedrooms-seminyak-pantai-batu-belig-bali-shm-hos41444541/?priceCurrency=IDR,processed,ok,2026-04-21 07:49:32.289467+00,2026-04-21 00:06:47.673384+00,2026-04-20 23:45:25.710662+00
a7d55ce2-8131-4535-8d7c-34e99e9d6b3b,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/villa-murah-seminyak-bali-dekat-pantai-petitenget-freehold-hos41444320/?priceCurrency=IDR,processed,blocked,2026-04-21 08:24:57.181282+00,2026-04-21 00:07:05.51413+00,2026-04-20 23:45:25.710662+00
1612ccb3-97f6-4e2b-8c13-5f8369884b5c,rumah123_bali,https://www.rumah123.com/properti/badung-seminyak/rumah-seminyak-bali-2-lantai-freehold-shm-hos41444405/?priceCurrency=IDR,processed,ok,2026-04-21 08:23:34.018925+00,2026-04-21 00:07:08.892613+00,2026-04-20 23:45:25.710662+00
